data_curva,dias_uteis,taxa_252
02/12/2025,10.0,14.9
02/12/2025,13.0,14.9
02/12/2025,14.0,14.9
02/12/2025,15.0,14.9
02/12/2025,16.0,14.9
02/12/2025,17.0,14.9
02/12/2025,21.0,14.9
02/12/2025,24.0,14.9
02/12/2025,27.0,14.9
02/12/2025,28.0,14.9
02/12/2025,31.0,14.9
02/12/2025,43.0,14.9
02/12/2025,44.0,14.9
02/12/2025,45.0,14.9
02/12/2025,48.0,14.9
02/12/2025,49.0,14.89
02/12/2025,50.0,14.89
02/12/2025,51.0,14.89
02/12/2025,57.0,14.89
02/12/2025,58.0,14.89
02/12/2025,59.0,14.89
02/12/2025,62.0,14.89
02/12/2025,78.0,14.86
02/12/2025,79.0,14.86
02/12/2025,80.0,14.85
02/12/2025,85.0,14.85
02/12/2025,86.0,14.85
02/12/2025,87.0,14.84
02/12/2025,90.0,14.84
02/12/2025,104.0,14.8
02/12/2025,105.0,14.8
02/12/2025,106.0,14.79
02/12/2025,107.0,14.79
02/12/2025,108.0,14.79
02/12/2025,111.0,14.79
02/12/2025,119.0,14.77
02/12/2025,120.0,14.77
02/12/2025,133.0,14.73
02/12/2025,134.0,14.72
02/12/2025,135.0,14.72
02/12/2025,143.0,14.69
02/12/2025,147.0,14.69
02/12/2025,149.0,14.68
02/12/2025,153.0,14.68
02/12/2025,162.0,14.62
02/12/2025,164.0,14.61
02/12/2025,170.0,14.58
02/12/2025,178.0,14.54
02/12/2025,181.0,14.53
02/12/2025,197.0,14.46
02/12/2025,198.0,14.45
02/12/2025,199.0,14.45
02/12/2025,206.0,14.42
02/12/2025,209.0,14.41
02/12/2025,210.0,14.41
02/12/2025,211.0,14.4
02/12/2025,225.0,14.34
02/12/2025,233.0,14.3
02/12/2025,240.0,14.27
02/12/2025,241.0,14.27
02/12/2025,244.0,14.26
02/12/2025,253.0,14.21
02/12/2025,258.0,14.19
02/12/2025,268.0,14.13
02/12/2025,269.0,14.13
02/12/2025,272.0,14.12
02/12/2025,273.0,14.12
02/12/2025,287.0,14.05
02/12/2025,288.0,14.04
02/12/2025,294.0,14.02
02/12/2025,300.0,13.99
02/12/2025,302.0,13.98
02/12/2025,303.0,13.97
02/12/2025,316.0,13.92
02/12/2025,318.0,13.9
02/12/2025,330.0,13.85
02/12/2025,332.0,13.84
02/12/2025,336.0,13.83
02/12/2025,349.0,13.78
02/12/2025,351.0,13.76
02/12/2025,352.0,13.76
02/12/2025,360.0,13.73
02/12/2025,363.0,13.72
02/12/2025,364.0,13.72
02/12/2025,379.0,13.65
02/12/2025,381.0,13.64
